// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,8001,1000
0,25793,1000
4,50009,1000
4,50010,7000
4,50011,15000
4,50012,30000
4,50013,60000
4,50024,7000
4,50014,5000
3,35001,15000
3,35000,10000
3,35020,7000
6,12208,1000
6,12411,1000
6,14545,3000
6,7776,1000
6,17106,8000
6,12622,12000
6,7621,1000
6,12922,1800
6,12210,1500
6,12412,3000
6,6241,1000
6,16395,4500
6,16396,8500
6,7619,1000
6,13610,4500
6,12633,500
6,12902,10000
6,14592,500
6,14533,1500
1,20572,10000
1,20132,10000
1,20405,10000
1,31062,10000
1,31452,10000
1,18742,10000
1,31568,10000
1,20516,10000
1,20232,10000
1,31055,10000
1,31538,10000
1,20240,10000
1,20448,10000
1,20034,10000
1,20530,10000
1,31672,10000
1,31479,10000
1,31721,10000
1,31671,10000
1,20515,10000
1,31611,10000
1,31397,10000
1,31472,10000
1,31569,10000
1,31572,10000
1,31545,10000
1,31178,10000
1,20514,10000
1,20487,10000
1,5914,10000
1,20404,10000
1,19996,10000
1,19871,10000
1,20318,10000
1,20430,10000
1,19573,10000
1,19826,10000
1,20798,10000
1,19990,10000
1,31588,10000
1,31440,10000
1,20762,10000
1,19655,10000
1,410005,10000
1,31719,10000
1,20599,10000
1,20522,10000
1,20519,10000
1,31729,10000
1,31432,10000
1,31803,10000
1,31498,10000
1,31814,10000
1,19537,10000
1,31439,10000
1,31561,10000
5,8023,20000
5,8024,15000
5,8022,15000
5,8027,15000
5,8018,15000
5,12883,500
5,12633,500
5,13541,2100
5,12927,1000
5,12914,1500
5,12913,1500
5,14535,100
5,14601,100
5,12795,100
5,12684,100
5,12475,100
5,14537,100
5,12418,100
5,12419,100
5,12437,150
5,12298,100
5,12710,200
